,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
15666,850,Selangor - Cyberjaya,Condominium,1.0,1.0,1.0,450,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Minimart, Barbeque area, Multipurpose hall, Club house, Tennis Court, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15667,2500,Selangor - Shah Alam,Condominium,3.0,2.0,2.0,1398,Partially Furnished,"Playground, Barbeque area, Security, Swimming Pool, Gymnasium, Sauna, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15668,1300,Selangor - Kajang,Condominium,2.0,1.0,1.0,590,Fully Furnished,"Multipurpose hall, Security, Playground, Swimming Pool, Jogging Track, Lift, Gymnasium","Washing Machine, Cooking Allowed",Selangor
15669,1099,Selangor - Cyberjaya,Apartment,3.0,2.0,2.0,1000,Partially Furnished,"Minimart, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed",Selangor
15670,1150,Selangor - Subang Jaya,Service Residence,3.0,0.0,2.0,970,Partially Furnished,"Multipurpose hall, Security, Minimart, Swimming Pool, Jogging Track, Playground, Squash Court, Sauna, Gymnasium, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
15671,1300,Selangor - Kajang,Condominium,2.0,1.0,1.0,590,Partially Furnished,"Multipurpose hall, Security, Playground, Swimming Pool, Jogging Track, Lift, Gymnasium","Air-Cond, Cooking Allowed",Selangor
15672,1750,Selangor - Selayang,Service Residence,3.0,2.0,2.0,1263,Partially Furnished,"Parking, Lift, Security, Swimming Pool, Playground, Minimart, Gymnasium, Sauna, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15673,900,Selangor - Semenyih,Apartment,3.0,2.0,3.0,900,Not Furnished,"Security, Swimming Pool, Barbeque area, Parking, Jogging Track, Playground, Multipurpose hall, Gymnasium",None,Selangor
15674,1650,Selangor - Subang Jaya,Service Residence,1.0,1.0,1.0,732,Fully Furnished,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15675,1300,Selangor - Seri Kembangan,Service Residence,3.0,1.0,2.0,970,Fully Furnished,"Playground, Jogging Track, Barbeque area, Gymnasium, Tennis Court, Security, Minimart, Squash Court, Multipurpose hall, Parking, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Selangor
15676,930,Selangor - Shah Alam,Apartment,3.0,0.0,2.0,736,Not Furnished,"Swimming Pool, Lift, Sauna, Parking, Multipurpose hall, Squash Court, Jogging Track, Minimart, Gymnasium, Security",Cooking Allowed,Selangor
